parameterGroup,firstComponent,secondComponent,cosine
move-head,move-target-bc,throw-target-bc,
move-head,move-target-bc,power-bc,
move-head,move-target-bc,categorical-initializer-kl,
move-head,move-target-bc,move-initializer-anchor,-0.9538810849189758
move-head,move-target-bc,throw-initializer-anchor,
move-head,move-target-bc,power-initializer-anchor,
move-head,throw-target-bc,power-bc,
move-head,throw-target-bc,categorical-initializer-kl,
move-head,throw-target-bc,move-initializer-anchor,
move-head,throw-target-bc,throw-initializer-anchor,
move-head,throw-target-bc,power-initializer-anchor,
move-head,power-bc,categorical-initializer-kl,
move-head,power-bc,move-initializer-anchor,
move-head,power-bc,throw-initializer-anchor,
move-head,power-bc,power-initializer-anchor,
move-head,categorical-initializer-kl,move-initializer-anchor,
move-head,categorical-initializer-kl,throw-initializer-anchor,
move-head,categorical-initializer-kl,power-initializer-anchor,
move-head,move-initializer-anchor,throw-initializer-anchor,
move-head,move-initializer-anchor,power-initializer-anchor,
move-head,throw-initializer-anchor,power-initializer-anchor,
throw-head,ppo-actor,critic-value,
throw-head,ppo-actor,action-bc,
throw-head,ppo-actor,move-target-bc,
throw-head,ppo-actor,throw-target-bc,-0.5140344500541687
throw-head,ppo-actor,power-bc,
throw-head,ppo-actor,categorical-initializer-kl,
throw-head,ppo-actor,move-initializer-anchor,
throw-head,ppo-actor,throw-initializer-anchor,-0.489450603723526
throw-head,ppo-actor,power-initializer-anchor,
throw-head,critic-value,action-bc,
throw-head,critic-value,move-target-bc,
throw-head,critic-value,throw-target-bc,
throw-head,critic-value,power-bc,
throw-head,critic-value,categorical-initializer-kl,
throw-head,critic-value,move-initializer-anchor,
throw-head,critic-value,throw-initializer-anchor,
throw-head,critic-value,power-initializer-anchor,
throw-head,action-bc,move-target-bc,
throw-head,action-bc,throw-target-bc,
throw-head,action-bc,power-bc,
throw-head,action-bc,categorical-initializer-kl,
throw-head,action-bc,move-initializer-anchor,
throw-head,action-bc,throw-initializer-anchor,
throw-head,action-bc,power-initializer-anchor,
throw-head,move-target-bc,throw-target-bc,
throw-head,move-target-bc,power-bc,
throw-head,move-target-bc,categorical-initializer-kl,
throw-head,move-target-bc,move-initializer-anchor,
throw-head,move-target-bc,throw-initializer-anchor,
throw-head,move-target-bc,power-initializer-anchor,
throw-head,throw-target-bc,power-bc,
throw-head,throw-target-bc,categorical-initializer-kl,
throw-head,throw-target-bc,move-initializer-anchor,
throw-head,throw-target-bc,throw-initializer-anchor,0.9511523246765137
throw-head,throw-target-bc,power-initializer-anchor,
throw-head,power-bc,categorical-initializer-kl,
throw-head,power-bc,move-initializer-anchor,
throw-head,power-bc,throw-initializer-anchor,
throw-head,power-bc,power-initializer-anchor,
throw-head,categorical-initializer-kl,move-initializer-anchor,
throw-head,categorical-initializer-kl,throw-initializer-anchor,
throw-head,categorical-initializer-kl,power-initializer-anchor,
throw-head,move-initializer-anchor,throw-initializer-anchor,
